|Callsign|Frequency|Service|Channel|Directional Antenna (DA) or NonDirectional (ND)|Hours of Operation for this record - Daytime, Nighttime, or Unlimited|FM Station Class|International Station Class|FM Status|City|State|Country|File Number (Application, Construction Permit or License) or Docket Number (Rulemaking)|Effective Radiated Power -- horizontally polarized  (maximum)|Effective Radiated Power -- vertically polarized  (maximum)|Antenna Height Above Average Terrain (HAAT) -- horizontal polarization|Antenna Height Above Average Terrain (HAAT) -- vertical polarization|Facility ID Number (unique to each station)|N (North) or S (South) Latitude|Degrees Latitude|Minutes Latitude|Seconds Latitude|W (West) or (E) East Longitude|Degrees Longitude|Minutes Longitude|Seconds Longitude|Licensee or Permittee|Kilometers distant (radius) from entered latitude, longitude|Miles distant (radius) from entered latitude, longitude|Azimuth, looking from center Lat, Lon to this record's Lat, Lon|Antenna Radiation Center Above Mean Sea Level (RCAMSL) - Horizontally Polarized - meters|Antenna Radiation Center Above Mean Sea Level (RCAMSL) - Vertically Polarized - meters|Directional Antenna ID Number|Directional Antenna Pattern Rotation (degrees)|Antenna Structure Registration Number|Height of antenna radiation center above ground level (maximum) (physical center of the antenna)|Application ID number (from CDBS database)

|WCDG        |88.7  MHz |FM |204 |DA  |-                   |A  |-  |LIC    |DAHLONEGA                |GA |US |BLED   -20121212ABB |0.6    kW |0.6    kW |-28.0   |-28.0   |172359     |N |34 |33 |10.00 |W |83  |58 |5.00  |SILVER DOVE BROADCASTING, INC.                                              |   0.00 km |   0.00 mi |  0.00 deg |434.   m|434.0  m|105373    |0.      |-       |19.    m|1540538   |
|WFRP        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |AMERICUS                 |GA |US |BMLED  -20131118AAB |4.2    kW |4.2    kW |70.0    |70.0    |90111      |N |32 |5  |34.00 |W |84  |16 |56.00 |FAMILY STATIONS, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |198.   m|198.0  m|-         |-       |1026406 |59.    m|1596566   |
|WKEU-FM     |88.9  MHz |FM |205 |DA  |-                   |C2 |-  |LIC    |THE ROCK                 |GA |US |BLED   -19991215ABA |5.     kW |5.     kW |233.0   |233.0   |23908      |N |32 |59 |11.00 |W |84  |21 |56.00 |GEORGIA PUBLIC RADIO, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |466.   m|466.0  m|15726     |0.      |1033553 |82.    m|428784    |
|WBKG        |88.9  MHz |FM |205 |DA  |-                   |C3 |-  |LIC    |MACON                    |GA |US |BLED   -20050510ABV |5.5    kW |5.5    kW |153.0   |153.0   |76358      |N |32 |45 |51.00 |W |83  |33 |32.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |264.   m|264.0  m|68889     |0.      |1045776 |113.   m|1061544   |
|WMSL        |88.9  MHz |FM |205 |DA  |-                   |C3 |-  |LIC    |ATHENS                   |GA |US |BMLED  -20051128AFV |20.    kW |20.    kW |91.0    |91.0    |53562      |N |33 |54 |25.00 |W |83  |29 |35.00 |PRINCE EDUCATIONAL MEDIA, INC.                                              |   0.00 km |   0.00 mi |  0.00 deg |320.   m|320.0  m|16061     |0.      |1062953 |82.    m|1095487   |
|WLFH        |88.9  MHz |FM |205 |DA  |-                   |C2 |-  |CP     |CLAXTON                  |GA |US |BNPED  -20071022BIT |1.2    kW |45.    kW |76.0    |76.0    |176341     |N |32 |18 |6.00  |W |81  |49 |57.00 |RADIO TRAINING NETWORK, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |123.   m|123.0  m|89261     |0.      |1215193 |79.    m|1262912   |
|WWIO-FM     |88.9  MHz |FM |205 |ND  |-                   |C3 |-  |LIC    |BRUNSWICK                |GA |US |BLED   -20081126ABT |11.5   kW |11.5   kW |46.0    |46.0    |23944      |N |31 |11 |20.00 |W |81  |29 |5.00  |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |48.    m|48.0   m|-         |-       |-       |43.    m|1280848   |
|WBCX        |89.1  MHz |FM |206 |ND  |-                   |A  |-  |LIC    |GAINESVILLE              |GA |US |BLED   -19851202KD  |0.84   kW |0.84   kW |166.0   |166.0   |6706       |N |34 |19 |1.00  |W |83  |49 |45.00 |BRENAU COLLEGE                                                              |   0.00 km |   0.00 mi |  0.00 deg |447.   m|447.0  m|-         |-       |-       |107.   m|83875     |
|WAKP        |89.1  MHz |FM |206 |DA  |-                   |A  |-  |LIC    |SMITHBORO                |GA |US |BLED   -20100726AIQ |0.     kW |2.9    kW |0.0     |67.0    |172935     |N |33 |19 |0.00  |W |83  |31 |40.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|219.   m|96617     |0.      |1247769 |50.    m|1394038   |
|WBIB-FM     |89.1  MHz |FM |206 |ND  |-                   |A  |-  |LIC    |FORSYTH                  |GA |US |BLED   -20101220AAF |0.1    kW |0.1    kW |53.0    |53.0    |168943     |N |33 |3  |1.00  |W |83  |57 |10.00 |BELIEVERS IN BROADCASTING, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |233.5  m|233.5  m|-         |-       |1044769 |30.5   m|1412433   |
